player_id,match_date,match_result
401,2021-05-04 00:00:00,W
401,2021-05-09 00:00:00,L
401,2021-05-16 00:00:00,L
401,2021-05-18 00:00:00,W
401,2021-05-22 00:00:00,L
401,2021-06-15 00:00:00,L
401,2021-06-16 00:00:00,W
401,2021-06-18 00:00:00,W
401,2021-07-06 00:00:00,L
401,2021-07-13 00:00:00,L
402,2021-05-14 00:00:00,L
402,2021-05-23 00:00:00,L
402,2021-05-24 00:00:00,W
402,2021-06-01 00:00:00,W
402,2021-06-02 00:00:00,W
402,2021-07-01 00:00:00,W
402,2021-07-11 00:00:00,W
402,2021-07-20 00:00:00,L
402,2021-07-26 00:00:00,L
402,2021-07-30 00:00:00,L
403,2021-05-03 00:00:00,L
403,2021-05-11 00:00:00,W
403,2021-05-12 00:00:00,W
403,2021-05-13 00:00:00,W
403,2021-05-20 00:00:00,W
403,2021-05-25 00:00:00,W
403,2021-07-06 00:00:00,L
403,2021-07-15 00:00:00,L
403,2021-07-22 00:00:00,W
403,2021-07-23 00:00:00,W
404,2021-05-10 00:00:00,W
404,2021-05-16 00:00:00,W
404,2021-05-20 00:00:00,W
404,2021-05-22 00:00:00,W
404,2021-05-28 00:00:00,L
404,2021-06-06 00:00:00,L
404,2021-06-14 00:00:00,W
404,2021-07-25 00:00:00,W
404,2021-07-26 00:00:00,L
405,2021-05-07 00:00:00,L
405,2021-05-25 00:00:00,L
405,2021-06-06 00:00:00,L
405,2021-06-07 00:00:00,L
405,2021-06-14 00:00:00,L
405,2021-07-01 00:00:00,L
405,2021-07-02 00:00:00,L
405,2021-07-14 00:00:00,W
405,2021-07-16 00:00:00,L
405,2021-07-30 00:00:00,L
